"unixdate";"date";"m_id";"from_user";"source";"likes count";"repost count";"copy_text";"reposter type"
"1490516502";"2017-03-26 11:21:42";"1232";"185921413";"-19732513";"0";"0";"???";"user"
"1490383149";"2017-03-24 22:19:09";"12802";"140890336";"-19732513";"2";"2";"";"user"
