"unixdate";"date";"m_id";"from_user";"source";"likes count";"repost count";"copy_text";"reposter type";"depth"
"1490157690";"2017-03-22 07:41:30";"6818";"58602867";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"3363";"268758439";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"6544";"182277648";"-19732513";"1";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"883";"178232643";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"3470";"139933063";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"2112";"9692241";"-19732513";"1";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"6430";"26314378";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"648";"335023446";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1045";"229987990";"-19732513";"0";"0";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"1187";"88825146";"-19732513";"1";"1";"";"user";"0"
"1490157690";"2017-03-22 07:41:30";"17";"-139484552";"-19732513";"0";"0";"";"group";"0"
"1490387208";"2017-03-24 23:26:48";"1066";"-138760972";"231861378";"1";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"139";"-138101337";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1735";"-134585389";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"51";"-134262304";"-19732513";"0";"0";"";"group";"0"
"1490387208";"2017-03-24 23:26:48";"8688";"-132068601";"231861378";"4";"1";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"151";"-122519602";"-19732513";"denied";"denied";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"10635";"-120875327";"-19732513";"3";"1";"Вот - последствия вакцинации, которую так навязывают нам.";"group";"0"
"1490157690";"2017-03-22 07:41:30";"669";"-120749735";"-19732513";"denied";"denied";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"124";"-116759862";"-19732513";"1";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"201";"-108844481";"-19732513";"denied";"denied";"";"group";"0"
"1490387208";"2017-03-24 23:26:48";"464";"-105778135";"231861378";"denied";"denied";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"3694";"-92103566";"-19732513";"denied";"denied";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"5494";"-89260740";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"11178";"-88482886";"-19732513";"7";"0";"..."" Прививок становится все больше и больше, потому что это, повторюсь, большой бизнес. И общество будут и дальше пугать страшными заболеваниями. Лодка раскачивается очень серьезно — государству рано или поздно придется признавать эту проблему, другой дороги просто нет.""...";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1039";"-67864519";"-19732513";"4";"3";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"15248";"-61478463";"-19732513";"9";"6";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"778";"-60313753";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1776";"-58247063";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"8582";"-56479242";"-19732513";"0";"0";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"36528";"-52570133";"-19732513";"11";"4";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"249";"-46887879";"-19732513";"12";"6";"ПОЛЕЗНЫХ ПРИВИВОК - НЕ СУЩЕСТВУЕТ. УБИВАЮТ - ВСЕ...";"group";"0"
"1490157690";"2017-03-22 07:41:30";"4195";"-40625854";"-19732513";"4";"3";"";"group";"0"
"1490157690";"2017-03-22 07:41:30";"1414";"-38905160";"-19732513";"3";"1";"";"group";"0"
